time,id,clone_id,parent_id,size,S,R1,R2,R3
46,0,0,-1,1,0.20674549,0.23776098,0.24878025,0.3067133
46,1,1,0,1,0.25178006,0.046409994,0.29733205,0.40447795
46,2,1,0,1,0.9247548,0.034440413,0.037568904,0.0032358277
46,3,1,2,1,0.15645163,0.29731783,0.53342116,0.01280942
46,4,1,1,1,0.8407407,0.0002878735,0.046665806,0.11230557
46,5,1,1,1,0.8559333,0.005906094,0.10709648,0.031064091
46,6,1,1,1,0.21991187,0.072605655,0.31430662,0.39317584
46,7,1,1,1,0.7462336,0.04418813,0.14447989,0.06509845
46,8,1,3,1,0.0008744427,0.047615714,0.9515075,2.4043595e-06
46,9,2,1,1,0.6461859,0.00018260199,0.31171125,0.0419203
46,10,2,7,1,0.83289516,0.0004267771,0.08193401,0.084743984
46,11,2,7,1,0.43517363,0.20004708,0.05886694,0.30591235
46,12,2,5,1,0.6094217,0.050921053,0.23331943,0.10633779
46,13,2,9,1,0.0014774092,1.3945152e-05,1.5922567e-05,0.9984927
46,14,2,11,1,0.92267066,0.018278617,0.020696426,0.038354248
46,15,2,12,1,0.022959964,9.3859584e-05,0.87896794,0.09797821
46,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
47,0,0,-1,1,0.20821494,0.23738286,0.24828146,0.30612078
47,1,1,0,1,0.25660717,0.047423963,0.29421318,0.40175563
47,2,1,0,1,0.9310467,0.03176181,0.034300875,0.0028906309
47,3,1,2,1,0.16873902,0.29952082,0.5171219,0.01461829
47,4,1,1,1,0.86034447,0.00021745435,0.04083364,0.098604485
47,5,1,1,1,0.87168074,0.005002821,0.095968954,0.027347516
47,6,1,1,1,0.24587376,0.069266774,0.2884128,0.39644656
47,7,1,1,1,0.7741731,0.039622143,0.1279777,0.05822709
47,8,1,3,1,0.00089004514,0.04808707,0.95102036,2.4475855e-06
47,9,2,1,1,0.7060278,0.000112977956,0.2596314,0.034227837
47,10,2,7,1,0.86111635,0.0003633117,0.08317238,0.055347987
47,11,2,7,1,0.4627274,0.18946522,0.053057067,0.29475036
47,12,2,5,1,0.65264535,0.047618188,0.20904161,0.09069486
47,13,2,9,1,0.0015099955,1.4221307e-05,1.6430495e-05,0.99845934
47,14,2,11,1,0.93869054,0.014336251,0.016475238,0.030498015
47,15,2,12,1,0.027081683,0.00012294749,0.8533446,0.11945076
47,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
48,0,0,-1,1,0.20970052,0.23699892,0.24777755,0.3055231
48,1,1,0,1,0.26169693,0.04866413,0.29005483,0.39958414
48,2,1,0,1,0.93600994,0.029393947,0.032015383,0.0025807722
48,3,1,2,1,0.18154526,0.30099833,0.5008091,0.01664737
48,4,1,1,1,0.87626165,0.00017013962,0.03623378,0.08733444
48,5,1,1,1,0.8853546,0.004258719,0.086227484,0.024159173
48,6,1,1,1,0.2753706,0.06543765,0.26160982,0.39758193
48,7,1,1,1,0.7998057,0.035417993,0.11301504,0.051761206
48,8,1,3,1,0.00090618,0.048570517,0.95052075,2.4923015e-06
48,9,2,1,1,0.75881034,6.84129e-05,0.21376546,0.027355807
48,10,2,7,1,0.87980556,0.00022861085,0.05923311,0.06073271
48,11,2,7,1,0.49586678,0.16561306,0.044352252,0.29416785
48,12,2,5,1,0.69725376,0.041034773,0.18397294,0.077738516
48,13,2,9,1,0.0015439844,1.4508706e-05,1.6965552e-05,0.99842453
48,14,2,11,1,0.949909,0.011611321,0.0135068,0.024972944
48,15,2,12,1,0.032135632,0.00016284872,0.8227665,0.144935
48,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
48,17,2,9,1,0.33883467,0.00045669766,0.49437386,0.16633469
49,0,0,-1,1,0.2112025,0.23660901,0.2472684,0.30492008
49,1,1,0,1,0.26652712,0.049814284,0.28655878,0.39709976
49,2,1,0,1,0.9407676,0.02732617,0.029573277,0.0023330208
49,3,1,2,1,0.1947748,0.3017209,0.48460233,0.018902048
49,4,1,1,1,0.8912787,0.00012937453,0.031596553,0.07699539
49,5,1,1,1,0.89712524,0.003663658,0.07772276,0.021488372
49,6,1,1,1,0.3087411,0.061110377,0.23417684,0.39597166
49,7,1,1,1,0.8226624,0.03158927,0.09972623,0.046022054
49,8,1,3,1,0.00092286925,0.049066324,0.95000833,2.5385716e-06
49,9,2,1,1,0.8029105,4.1522686e-05,0.17535213,0.021695875
49,10,2,7,1,0.8947555,0.00019482199,0.06230384,0.04274581
49,11,2,7,1,0.5294906,0.14690962,0.03755131,0.2860485
49,12,2,5,1,0.7363243,0.033899434,0.16423947,0.06553669
49,13,2,9,1,0.001579464,1.4808074e-05,1.7529735e-05,0.9983882
49,14,2,11,1,0.9580668,0.009650618,0.011340709,0.020941714
49,15,2,12,1,0.035987064,0.00018530723,0.8131555,0.15067223
49,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
49,17,2,9,1,0.41036382,0.00037920353,0.4442565,0.14500041
49,18,2,5,1,0.8516244,0.00068888714,0.10992977,0.037756912
49,19,2,11,1,0.32591453,0.29344922,0.32753626,0.053100016
50,0,0,-1,1,0.21272118,0.23621312,0.24675393,0.30431175
50,1,1,0,1,0.2717491,0.05063949,0.2833204,0.39429095
50,2,1,0,1,0.94495827,0.025360906,0.027586909,0.0020939887
50,3,1,2,1,0.20832023,0.30167887,0.46862015,0.021380767
50,4,1,1,1,0.90366066,0.000101147576,0.02793103,0.06830721
50,5,1,1,1,0.9073694,0.0031644683,0.07028931,0.01917694
50,6,1,1,1,0.34625617,0.056303613,0.206492,0.39094818
50,7,1,1,1,0.842816,0.028174577,0.088090815,0.040918604
50,8,1,3,1,0.00094014447,0.049575243,0.949482,2.5864836e-06
50,9,2,1,1,0.8383632,2.571751e-05,0.14434816,0.017263003
50,10,2,7,1,0.90823543,0.00013100571,0.045821864,0.045811683
50,11,2,7,1,0.5655214,0.13584861,0.03277863,0.26585138
50,12,2,5,1,0.7709582,0.029351123,0.14565359,0.05403718
50,13,2,9,1,0.0016165347,1.512017e-05,1.8125318e-05,0.99835026
50,14,2,11,1,0.96419704,0.00819017,0.009708297,0.017904505
50,15,2,12,1,0.040590424,0.00021254898,0.80235004,0.15684697
50,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
50,17,2,9,1,0.4964198,0.00029078985,0.38218468,0.121104755
50,18,2,5,1,0.8779525,0.00040241983,0.09264337,0.029001776
50,19,2,11,1,0.4370701,0.36403754,0.16282028,0.03607204
50,20,2,4,1,0.2661372,0.006598707,0.55487865,0.17238544
50,21,2,7,1,0.99423707,0.0017339445,0.0029979926,0.0010308514
50,22,2,11,1,0.9919042,0.0077209505,4.9579402e-08,0.00037480006
51,0,0,-1,1,0.21425684,0.23581111,0.2462341,0.30369797
