time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3,T1,T2,T3
40,13,3,1,0.03125,0.983679,0.010259264,0.0033005523,0.002761158,1.0,0.0,0.0
40,14,4,1,0.03125,0.9995833,4.5801713e-07,3.4115135e-05,0.00038212969,1.0,0.0,0.0
40,15,6,1,0.03125,0.99999976,1.6749578e-09,5.7040452e-09,1.8785117e-07,1.0,0.0,0.0
41,0,-1,17,0.5,0.5415563,0.2615094,0.083637506,0.113296874,1.0,0.0,0.0
41,1,0,9,0.2647058823529412,0.7366939,0.107809275,0.024834197,0.13066262,1.0,0.0,0.0
41,2,0,4,0.11764705882352941,0.5045059,0.45626688,0.010651782,0.028575495,1.0,0.0,0.0
41,3,1,6,0.17647058823529413,0.9970913,0.0013413425,0.00063885155,0.0009285296,1.0,0.0,0.0
41,4,2,2,0.058823529411764705,0.6082407,0.37477311,0.008589633,0.008396578,1.0,0.0,0.0
41,5,3,1,0.029411764705882353,0.99936646,4.509224e-09,2.897378e-07,0.0006333715,1.0,0.0,0.0
41,6,3,3,0.08823529411764706,0.99999994,5.5842697e-10,2.2583138e-09,6.273451e-08,1.0,0.0,0.0
41,7,0,2,0.058823529411764705,0.036556438,0.43462458,0.37919232,0.14962663,1.0,0.0,0.0
41,8,0,1,0.029411764705882353,0.229725,0.41900146,0.19926994,0.15200357,1.0,0.0,0.0
41,9,7,1,0.029411764705882353,0.02053553,3.4538177e-06,0.7130995,0.26636153,1.0,0.0,0.0
41,10,1,2,0.058823529411764705,0.0125834225,0.31774738,0.096802846,0.5728663,1.0,0.0,0.0
41,11,2,1,0.029411764705882353,0.019551056,0.9431381,6.1763226e-06,0.03730468,1.0,0.0,0.0
41,12,6,1,0.029411764705882353,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
41,13,3,1,0.029411764705882353,0.98693526,0.007991911,0.0025839533,0.0024889528,1.0,0.0,0.0
41,14,4,1,0.029411764705882353,0.9995869,4.541031e-07,3.3893055e-05,0.0003787993,1.0,0.0,0.0
41,15,6,1,0.029411764705882353,0.99999976,1.6748365e-09,5.703632e-09,1.8783756e-07,1.0,0.0,0.0
41,16,10,1,0.029411764705882353,3.622719e-09,0.00023272344,0.072822206,0.92694503,1.0,0.0,0.0
42,0,-1,18,0.5,0.56656134,0.2533863,0.07608644,0.10396591,1.0,0.0,0.0
42,1,0,10,0.2777777777777778,0.76314074,0.10310586,0.019652294,0.11410111,1.0,0.0,0.0
42,2,0,4,0.1111111111111111,0.5034607,0.4620702,0.009751919,0.0247172,1.0,0.0,0.0
42,3,1,7,0.19444444444444445,0.99784595,0.0009354586,0.00046991053,0.00074866693,1.0,0.0,0.0
42,4,2,2,0.05555555555555555,0.60159695,0.38291153,0.00771427,0.0077773025,1.0,0.0,0.0
42,5,3,1,0.027777777777777776,0.99938226,4.3978954e-09,2.8306346e-07,0.0006174965,1.0,0.0,0.0
42,6,3,4,0.1111111111111111,0.99999994,4.187891e-10,1.6936373e-09,4.704748e-08,1.0,0.0,0.0
42,7,0,2,0.05555555555555555,0.034401525,0.44195038,0.3730231,0.15062502,1.0,0.0,0.0
42,8,0,1,0.027777777777777776,0.22820273,0.4333777,0.19116987,0.14724974,1.0,0.0,0.0
42,9,7,1,0.027777777777777776,0.022024238,4.004963e-06,0.7055091,0.27246264,1.0,0.0,0.0
42,10,1,2,0.05555555555555555,0.012435627,0.34680027,0.08440797,0.55635613,1.0,0.0,0.0
42,11,2,1,0.027777777777777776,0.017186776,0.9552167,5.331262e-06,0.027591217,1.0,0.0,0.0
42,12,6,1,0.027777777777777776,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
42,13,3,1,0.027777777777777776,0.98911554,0.0064955154,0.0021100505,0.002278862,1.0,0.0,0.0
42,14,4,1,0.027777777777777776,0.99959034,4.502512e-07,3.3674023e-05,0.00037552242,1.0,0.0,0.0
42,15,6,1,0.027777777777777776,0.99999976,1.6747119e-09,5.70324e-09,1.8782394e-07,1.0,0.0,0.0
42,16,10,1,0.027777777777777776,3.6505576e-09,0.0002345015,0.07327044,0.9264951,1.0,0.0,0.0
42,17,6,1,0.027777777777777776,1.0,3.0491305e-38,1.1650362e-22,2.2640079e-34,1.0,0.0,0.0
43,0,-1,19,0.5,0.53971994,0.29477286,0.069647364,0.09585981,1.0,0.0,0.0
43,1,0,10,0.2631578947368421,0.7629949,0.10903995,0.017429043,0.110536054,1.0,0.0,0.0
43,2,0,5,0.13157894736842105,0.41473937,0.5604934,0.00716161,0.017605603,1.0,0.0,0.0
